transaction_id,sender,receiver,amount,timestamp,is_suspicious
1,user_103,user_117,1650.72,2025-06-03 10:47:00,0
2,user_271,user_27,3300.05,2025-04-15 09:38:00,0
3,user_107,user_258,1476.87,2025-06-12 22:25:00,0
4,user_72,user_180,1086.86,2025-04-15 08:27:00,0
5,user_189,user_172,801.6,2025-03-19 01:09:00,0
6,user_21,user_274,1570.29,2025-03-30 02:55:00,0
7,user_103,user_259,538.52,2025-01-19 23:15:00,0
8,user_122,user_135,103.05,2025-06-24 12:07:00,0
9,user_215,user_171,4025.16,2025-02-28 04:44:00,0
10,user_88,user_210,698.1,2025-05-24 06:38:00,0
11,user_100,user_236,3882.12,2025-01-29 21:01:00,0
12,user_152,user_186,3989.74,2025-05-03 15:29:00,0
13,user_131,user_95,2694.22,2025-06-29 21:07:00,0
14,user_150,user_11,1555.31,2025-05-27 08:49:00,0
15,user_258,user_68,733.71,2025-03-09 14:37:00,0
16,user_294,user_210,3686.66,2025-03-25 04:01:00,0
17,user_192,user_196,3010.92,2025-05-24 06:57:00,0
18,user_277,user_98,3280.71,2025-03-21 03:44:00,0
19,user_161,user_93,53.26,2025-06-20 12:03:00,0
20,user_22,user_93,10659.97,2025-03-06 04:49:00,1
21,user_253,user_172,340.79,2025-06-24 10:16:00,0
22,user_236,user_134,1840.36,2025-04-17 10:16:00,0
23,user_49,user_25,2019.53,2025-04-18 04:31:00,0
24,user_59,user_185,16.76,2025-04-20 11:22:00,0
25,user_170,user_85,2490.48,2025-04-01 15:22:00,0
26,user_188,user_55,3766.52,2025-01-30 21:10:00,0
27,user_271,user_251,4118.11,2025-02-13 05:25:00,0
28,user_190,user_144,4398.19,2025-05-10 12:59:00,0
29,user_175,user_167,2443.72,2025-06-24 02:10:00,0
30,user_51,user_224,3156.87,2025-01-25 09:33:00,0
31,user_55,user_220,406.8,2025-05-26 16:43:00,0
32,user_244,user_179,2445.31,2025-05-02 10:37:00,0
33,user_131,user_119,3668.29,2025-01-31 13:18:00,1
34,user_135,user_265,1854.52,2025-04-13 23:50:00,0
35,user_21,user_150,1653.23,2025-05-28 08:00:00,0
36,user_167,user_215,2123.47,2025-05-19 10:16:00,0
37,user_274,user_197,2862.47,2025-03-22 06:43:00,0
38,user_89,user_42,4515.35,2025-02-03 12:05:00,0
39,user_14,user_53,1978.48,2025-01-17 08:37:00,0
40,user_242,user_251,44933.85,2025-02-18 22:34:00,1
41,user_265,user_295,3797.55,2025-06-08 04:50:00,0
42,user_53,user_271,2562.29,2025-05-17 14:59:00,0
43,user_92,user_123,3223.69,2025-03-05 08:28:00,0
44,user_264,user_266,520.1,2025-05-31 09:45:00,0
45,user_35,user_29,4224.16,2025-02-15 04:34:00,0
46,user_206,user_35,2915.96,2025-02-10 10:04:00,0
47,user_81,user_6,38097.8,2025-06-09 11:49:00,1
48,user_50,user_111,3185.78,2025-06-05 11:12:00,0
49,user_2,user_294,4172.22,2025-04-19 18:47:00,0
50,user_54,user_77,18642.9,2025-05-27 18:15:00,1
51,user_106,user_147,1733.85,2025-05-24 19:36:00,0
52,user_260,user_67,1305.46,2025-04-15 23:01:00,0
53,user_191,user_8,2158.16,2025-04-18 23:12:00,0
54,user_218,user_122,2341.53,2025-04-18 18:58:00,0
55,user_44,user_175,1208.02,2025-01-05 18:06:00,0
56,user_162,user_179,4474.04,2025-04-30 01:04:00,0
57,user_202,user_85,2717.31,2025-01-17 10:54:00,0
58,user_270,user_45,4892.44,2025-01-16 02:20:00,0
59,user_271,user_136,4051.99,2025-05-06 08:30:00,0
60,user_215,user_16,2782.97,2025-01-22 12:36:00,0
61,user_252,user_195,4735.73,2025-02-14 08:34:00,0
62,user_190,user_9,2529.33,2025-03-09 19:41:00,0
63,user_296,user_15,4436.66,2025-03-16 06:25:00,0
64,user_213,user_102,1797.14,2025-05-13 11:14:00,0
65,user_208,user_226,1899.43,2025-05-02 17:12:00,0
66,user_237,user_278,2096.47,2025-01-16 22:50:00,0
67,user_53,user_113,2737.66,2025-04-09 14:07:00,0
68,user_280,user_1,2771.92,2025-04-28 11:03:00,0
69,user_217,user_266,2487.03,2025-05-08 07:40:00,0
70,user_252,user_208,1536.94,2025-04-17 11:30:00,0
71,user_188,user_110,4636.76,2025-03-03 17:30:00,0
72,user_41,user_200,2947.04,2025-06-07 19:29:00,0
73,user_157,user_12,2044.62,2025-02-09 19:00:00,0
74,user_15,user_188,3259.37,2025-02-12 23:55:00,0
75,user_65,user_154,3842.15,2025-04-07 21:16:00,0
76,user_9,user_279,4804.03,2025-02-22 04:27:00,0
77,user_129,user_171,2502.75,2025-02-22 19:44:00,0
78,user_136,user_134,3440.4,2025-06-21 12:35:00,1
79,user_63,user_25,2209.42,2025-02-16 04:55:00,0
80,user_139,user_18,2400.06,2025-01-03 14:40:00,0
81,user_81,user_190,4486.0,2025-04-27 15:16:00,0
82,user_163,user_141,1980.06,2025-03-13 07:55:00,0
83,user_289,user_43,4767.09,2025-03-29 03:31:00,0
84,user_261,user_284,2430.81,2025-06-01 18:29:00,0
85,user_231,user_146,4869.16,2025-04-20 02:14:00,0
86,user_41,user_92,50.91,2025-05-09 20:56:00,0
87,user_28,user_179,4495.09,2025-04-01 23:12:00,0
88,user_135,user_56,4656.29,2025-05-01 23:22:00,0
89,user_201,user_155,4805.49,2025-05-02 11:53:00,0
90,user_268,user_160,75.25,2025-02-13 07:59:00,0
91,user_33,user_111,866.79,2025-04-27 08:03:00,0
92,user_48,user_137,3272.28,2025-05-07 17:25:00,0
93,user_62,user_232,1089.19,2025-06-04 22:49:00,1
94,user_216,user_220,327.41,2025-02-13 05:58:00,0
95,user_293,user_68,1113.18,2025-03-20 16:06:00,0
96,user_99,user_249,2567.07,2025-04-22 14:31:00,0
97,user_172,user_6,2734.05,2025-04-26 01:33:00,0
98,user_214,user_280,180.96,2025-06-08 08:57:00,0
99,user_35,user_94,860.13,2025-06-26 18:31:00,0
100,user_227,user_269,2503.53,2025-04-11 02:31:00,0
101,user_101,user_197,2973.76,2025-06-29 05:27:00,0
