timestamp,sender,amount,category,device,location,label,receiver,time_since_last_txn,is_first_txn_for_user,avg_amount_24h,txn_count_30min
2025-08-28 20:40:11.217171,user_1,332.65,groceries,device_29,IN,0,user_109,0.0,1,0.0,0.0
2025-08-28 21:22:11.185983,user_1,57.13,travel,device_39,TX,0,user_120,41.9994802,0,332.65,1.0
2025-08-28 22:10:11.208212,user_1,327.35,groceries,device_18,CA,0,user_58,48.000370483333334,0,194.89,1.0
2025-08-28 23:19:11.195992,user_1,198.56,groceries,device_36,CA,0,user_179,68.99979633333334,0,239.04333333333332,1.0
2025-08-29 00:42:11.181875,user_1,424.82,travel,device_5,UK,0,user_97,82.99976471666668,0,228.9225,1.0
2025-08-29 00:54:11.205242,user_1,374.98,luxury,device_19,IN,0,user_3,12.00038945,0,268.102,1.0
2025-08-29 00:59:11.222189,user_1,345.95,luxury,device_40,IN,0,user_143,5.00028245,0,285.915,2.0
2025-08-29 01:45:11.205541,user_1,263.42,gambling,device_28,NY,0,user_48,45.99972253333333,0,294.49142857142857,3.0
2025-08-29 02:31:11.184763,user_1,26.74,electronics,device_13,UK,0,user_36,45.999653699999996,0,290.6075,1.0
2025-08-29 04:35:11.181787,user_1,13.45,gambling,device_42,TX,0,user_153,123.9999504,0,261.2888888888889,1.0
2025-08-29 05:21:11.212411,user_1,271.27,gambling,device_8,NY,0,user_134,46.0005104,0,236.50500000000002,1.0
2025-08-29 05:55:11.215151,user_1,441.16,mobile_recharge,device_31,TX,0,user_40,34.000045666666665,0,239.66545454545457,1.0
2025-08-29 06:01:11.192531,user_1,109.45,mobile_recharge,device_40,IN,0,user_171,5.999623,0,256.45666666666665,1.0
2025-08-29 07:10:11.205323,user_1,348.59,luxury,device_13,IN,0,user_164,69.0002132,0,245.14846153846153,2.0
2025-08-29 08:24:11.197355,user_1,395.57,groceries,device_24,TX,0,user_94,73.9998672,0,252.53714285714287,1.0
2025-08-29 09:25:11.194793,user_1,24.04,electronics,device_32,CA,0,user_59,60.9999573,0,262.0726666666667,1.0
2025-08-29 09:49:11.206329,user_1,493.09,mobile_recharge,device_19,NY,0,user_111,24.000192266666666,0,247.195625,1.0
2025-08-29 09:57:11.219805,user_1,387.36,electronics,device_7,NY,0,user_157,8.000224600000001,0,261.66,2.0
2025-08-29 10:14:11.215495,user_1,103.6,travel,device_38,SG,0,user_188,16.999928166666667,0,268.6433333333333,2.0
2025-08-29 11:15:11.215283,user_1,327.27,groceries,device_18,IN,0,user_47,60.999996466666666,0,259.95684210526315,3.0
2025-08-29 12:33:11.195231,user_1,452.94,travel,device_2,SG,0,user_85,77.9996658,0,263.3225,1.0
2025-08-29 14:19:11.199990,user_1,190.89,travel,device_20,NY,0,user_24,106.00007931666667,0,272.3519047619048,1.0
2025-08-29 14:20:11.193434,user_1,456.17,luxury,device_2,SG,0,user_92,0.9998907333333332,0,268.6490909090909,1.0
2025-08-29 14:30:11.213929,user_1,144.44,electronics,device_39,CA,0,user_65,10.000341583333332,0,276.8021739130435,2.0
2025-08-29 16:01:11.195630,user_1,125.54,groceries,device_25,IN,0,user_11,90.99969501666666,0,271.2870833333333,3.0
2025-08-29 16:31:11.190799,user_1,28.9,mobile_recharge,device_4,IN,0,user_167,29.999919483333333,0,265.4572,1.0
2025-08-29 16:55:11.189198,user_1,196.49,groceries,device_40,NY,0,user_64,23.99997331666667,0,256.3588461538462,2.0
2025-08-29 18:20:11.180719,user_1,54.16,electronics,device_32,SG,0,user_181,84.99985868333333,0,254.14148148148146,2.0
2025-08-29 18:38:11.215193,user_1,18.23,travel,device_3,UK,0,user_50,18.000574566666668,0,246.9992857142857,1.0
2025-08-28 19:25:11.205909,user_10,70.99,luxury,device_20,CA,0,user_152,0.0,1,0.0,0.0
2025-08-28 19:26:11.210514,user_10,279.88,electronics,device_21,CA,0,user_114,1.00007675,0,70.99,1.0
2025-08-28 19:46:11.220560,user_10,229.47,electronics,device_45,CA,0,user_65,20.000167433333335,0,175.435,2.0
